"","Year","Mean_COV","sd_COV","min_COV","max_COV"
"1",1920,0.133487107110935,0.0641218526684984,0.0227272727272727,0.308620689655172
"2",1921,0.168524293283752,0.0634811474494184,0.0820472788624719,0.352380952380952
"3",1922,0.200360358769958,0.0682368240018687,0.0895295902883156,0.419267299864315
"4",1923,0.201908417367313,0.0789895577801346,0.102425876010782,0.46002621231979
"5",1924,0.201477776832712,0.0643477303169026,0.0939357617011862,0.371508379888268
"6",1925,0.217082420047399,0.0651097145415402,0.135328329922671,0.413605442176871
"7",1926,0.227926125138861,0.0812139141890572,0.103877651754739,0.493993993993994
"8",1927,0.220814603671561,0.0704473449163574,0.135047131244446,0.408988764044944
"9",1928,0.231654767286868,0.0653643679826932,0.119130309691404,0.413740458015267
"10",1929,0.25722144040027,0.0804824129829083,0.159415696095257,0.47875816993464
"11",1930,0.265991498574794,0.0737937712137979,0.132624566891613,0.48062015503876
"12",1931,0.299945849281575,0.0720601444749225,0.196531791907514,0.499165275459099
